69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%
69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%
69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,69.7%,72.2%,74.9%,75.0%,73.6%,70.1%,69.7%
69.7%,69.7%,69.7%,69.7%,69.7%,71.7%,78.3%,81.6%,82.5%,80.1%,76.9%,74.5%,70.2%
69.7%,69.7%,69.7%,69.7%,77.1%,88.2%,90.0%,90.2%,88.8%,86.7%,81.7%,78.2%,74.3%
69.7%,69.7%,70.4%,82.2%,92.7%,92.5%,92.2%,90.7%,90.1%,87.4%,84.2%,79.8%,75.3%
69.7%,70.7%,84.7%,93.3%,93.4%,93.4%,92.8%,91.1%,89.6%,88.3%,84.9%,79.8%,75.1%
70.8%,86.1%,93.7%,93.8%,93.9%,94.1%,93.2%,91.9%,90.2%,88.3%,84.4%,79.3%,75.1%
86.7%,93.9%,94.0%,94.1%,94.2%,94.3%,93.3%,92.1%,90.4%,87.4%,84.1%,79.3%,75.1%
94.3%,94.3%,94.1%,94.2%,94.7%,94.5%,93.1%,92.3%,90.2%,87.2%,83.8%,79.4%,75.1%
94.6%,94.5%,94.3%,93.9%,95.0%,94.5%,93.3%,92.1%,89.4%,86.3%,83.8%,79.4%,75.1%
94.3%,94.6%,94.3%,94.7%,95.2%,94.4%,93.1%,90.9%,88.6%,85.6%,83.7%,79.3%,75.2%
94.6%,94.6%,94.3%,94.7%,95.6%,94.2%,92.5%,90.6%,88.4%,85.5%,83.9%,79.3%,75.2%
